id,status,score,same_subject_score,topic,answer,matched_subject,matched_chapter,matched_section,matched_concept,same_subject_concept,cross_subject_match,missing_terms,question
PRE-01-001,IN_SCOPE,0.568,0.568,소프트웨어 개발 / 소프트웨어 공학,소프트웨어 위기,소프트웨어 개발,소프트웨어 공학 기초,소프트웨어 공학의 배경과 목적,소프트웨어 공학 배경,소프트웨어 공학 배경,,"1960년대, crisis, engineering, software, 가리키는, 극복하기, 급증했지만, 늘어나면서, 대규모로, 만들자는, 발생했다, 실패하는, 용어이며, 이어졌고, 체계적으로, 탄생했다, 해당하는","다음 설명에 해당하는 용어를 적으시오.  [보기] 1960년대 컴퓨터 보급이 폭발적으로 늘어나면서 소프트웨어 프로젝트가 줄줄이 실패하는 현상이 발생했다. 이 대혼란을 가리키는 용어이며, 소프트웨어 공학 탄생의 직접적 계기가 되었다."
PRE-01-002,IN_SCOPE,0.496,0.496,소프트웨어 개발 / 소프트웨어 공학,도구,소프트웨어 개발,소프트웨어 공학 기초,소프트웨어 공학의 배경과 목적,소프트웨어 공학의 4가지 중요요소,소프트웨어 공학의 4가지 중요요소,,"갖춰져야, 반자동화한, 해당한다","소프트웨어 공학의 4가지 중요 요소를 나열할 때, 빈칸 (ㄱ)에 들어갈 알맞은 용어를 적으시오.  [보기] 방법(Method), (ㄱ), 절차(Process), 사람(People)"
PRE-01-003,IN_SCOPE,0.521,0.521,소프트웨어 개발 / 소프트웨어 개발 생명주기,V 모델,소프트웨어 개발,소프트웨어 공학 기초,소프트웨어 개발 생명주기,소프트웨어 생명주기 모델 종류,소프트웨어 생명주기 모델 종류,,"구현이고, 내리막이, 대응하는, 돌아가기, 모델이다, 오르막이, 이상적이며, 적합하며, 테스트다, 해당하는","다음 설명에 해당하는 소프트웨어 생명주기 모델을 적으시오.  [보기] 각 개발 단계(요구사항 분석, 설계, 구현, 테스트)와 대응되는 검증(Verification)·확인(Validation) 활동이 전체 주기 동안 병행된다. 요구사항이 모두 식별되고 명확할 때 이상적이며, 테스트에서 결함 발견 시 어느 단계를 재수행할지 판단하기 용이하다."
PRE-01-004,IN_SCOPE,0.570,0.570,소프트웨어 개발 / 소프트웨어 개발 생명주기,점증적 모델,소프트웨어 개발,소프트웨어 공학 기초,소프트웨어 개발 생명주기,소프트웨어 생명주기 모델 종류,소프트웨어 생명주기 모델 종류,,"개발한다, 단계마다, 방식이다, 배포된다, 완성하는, 인터페이스의, 적합하다, 필요하거나, 해당하는, 확장해나가는","다음 설명에 해당하는 소프트웨어 생명주기 모델을 적으시오.  [보기] 시스템 전체를 한 번에 완성하는 것이 아니라, 제한된 기능만 먼저 개발한 뒤 단계적으로 기능을 확장해나가는 방식이다. 고객이 원하는 날짜까지 전체 구현이 어렵지만 일부 동작하는 시스템이 먼저 필요한 경우에 적합하다."
PRE-01-005,IN_SCOPE,0.538,0.538,소프트웨어 개발 / 소프트웨어 개발 생명주기,CBD 방법론,소프트웨어 개발,소프트웨어 공학 기초,소프트웨어 개발 생명주기,소프트웨어 개발 방법론 비교,소프트웨어 개발 방법론 비교,,"component-based, development, 구축하자, 방법론을, 방법론이다, 방식이다, 생산성과, 시스템을, 안정적이다, 재사용을, 재사용해, 전략으로, 조립하는, 조립해서, 조합하므로, 컴포넌트를, 해당하는",다음 설명에 해당하는 소프트웨어 개발 방법론을 적으시오.  [보기] '이미 검증된 부품(컴포넌트)을 조립해서 빠르게 시스템을 구축하자'는 방식이다. 컴포넌트 재사용을 핵심 전략으로 삼아 개발 생산성과 품질을 동시에 높인다.
PRE-01-006,IN_SCOPE,0.601,0.601,소프트웨어 개발 / 애자일 개발,린(Lean),소프트웨어 개발,소프트웨어 공학 기초,애자일 개발 방법론,애자일 방법론 종류,애자일 방법론 종류,,"도요타의, 방법론을, 방법론의, 방법론이다, 불필요한, 사용되며, 원칙이다, 전달하는, 제거하고, 제안했으며, 제조업의, 집중한다, 최소화하고, 포펜딕과, 해당하는","다음 설명에 해당하는 애자일 방법론을 적으시오.  [보기] 도요타의 린(Lean) 생산방식을 소프트웨어 개발에 적용한 방법론이다. 메리 포펜딕과 톰 포펜딕이 제안했으며, '낭비를 제거하고 필요한 것만, 빠르게'가 핵심 원칙이다."
PRE-01-007,IN_SCOPE,0.550,0.550,소프트웨어 개발 / 애자일 개발,스크럼 마스터,소프트웨어 개발,소프트웨어 공학 기초,애자일 개발 방법론,스크럼,스크럼,,"development, master, owner, product, scrum, team, 개발팀은, 결정하고, 구성된다, 마스터는, 소프트웨어를, 역할이다, 지원하며, 책임자는, 퍼실리테이터, 프로세스를","스크럼(Scrum)에서 팀의 역할은 세 가지로 구성된다. 빈칸 (ㄱ)에 들어갈 알맞은 역할을 적으시오.  [보기] 제품 책임자(Product Owner), (ㄱ), 개발팀(Development Team)"
PRE-01-008,IN_SCOPE,0.584,0.584,소프트웨어 개발 / 애자일 개발,XP(익스트림 프로그래밍),소프트웨어 개발,소프트웨어 공학 기초,애자일 개발 방법론,애자일 방법론 종류,애자일 방법론 종류,,"beck, kent, 구성된다, 방법론으로, 방법론을, 방식이다, 주도했고, 특징이다, 피드백과, 해당하는","다음 설명에 해당하는 애자일 방법론을 적으시오.  [보기] 켄트 벡(Kent Beck)이 제안한 방법론으로, '의사소통·단순성·피드백·용기·존중'의 5가지 가치와 12가지 실천방법으로 구성된다. TDD, 일일빌드, 지속적 통합 등 코드 품질 기법과 긴밀하게 연관된 중소규모 팀에 적합한 방식이다."
PRE-01-009,IN_SCOPE,0.406,0.406,소프트웨어 개발 / 설계 원리,정보 은닉,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 설계 원리,정보 은닉,정보 은닉,,"hiding, information, 높아지고, 독립성이, 드러내지, 못하도록, 상호작용하게, 세부사항을, 소통하게, 수정해도, 외부에서, 유지보수성이, 인터페이스를, 접근하지, 통해서만, 해당하는, 향상된다","다음 설명에 해당하는 소프트웨어 설계 원리를 적으시오.  [보기] 모듈 내부의 세부 구현을 외부에 드러내지 않고, 정해진 인터페이스(문)를 통해서만 소통하게 한다. 덕분에 내부를 고쳐도 다른 모듈에 영향을 주지 않아 안전하게 개발할 수 있다."
PRE-01-010,IN_SCOPE,0.327,0.327,소프트웨어 개발 / 설계 원리,단계적 정제,소프트웨어 개발,소프트웨어 설계 & 아키텍처,소프트웨어 설계 원리,단계적 정제,단계적 정제,,"refinement, stepwise, top-down, 구체적이고, 구현으로, 내려가는, 높아진다, 다루므로, 단계적으로, 방식이다, 복잡성을, 분해하는, 세분화하는, 시작해서, 점진적으로, 정의하고, 처음에는, 해당하는",다음 설명에 해당하는 소프트웨어 설계 원리를 적으시오.  [보기] 처음에 큰 덩어리(추상적 개념)로 시작해서 점점 세부 구현으로 쪼개 내려가는 하향식(Top-Down) 방식이다. 큰 문제를 실제로 구현 가능할 만큼 작은 단위로 계속 분해하는 것이 핵심이다.
